City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,vila,42.0304,-8.1588,49.08,91,100,7.47,PT,1671592373
84,kodiak,57.79,-152.4072,26.11,74,100,6.91,US,1671592374
85,altagracia de orituco,9.8601,-66.3814,69.46,93,31,4.9,VE,1671592375
86,port-gentil,-0.7193,8.7815,79.54,77,100,4.43,GA,1671592375
87,romny,50.751,33.4747,30.61,89,100,9.48,UA,1671592376
88,belomorsk,64.5232,34.7668,24.12,95,100,12.01,RU,1671592376
89,klaksvik,62.2266,-6.589,41.92,84,99,9.6,FO,1671592377
90,obo,5.3998,26.4869,69.67,40,100,0.6,CF,1671592378
91,vaini,-21.2,-175.2,81.55,78,3,13.33,TO,1671592378
92,cabo san lucas,22.8909,-109.9124,72.52,65,20,4.61,MX,1671592324
93,lebu,-37.6167,-73.65,57.18,94,7,7.49,CL,1671592379
94,bluff,-46.6,168.3333,55.71,71,98,19.22,NZ,1671592275
95,busselton,-33.65,115.3333,81.68,35,36,7.11,AU,1671592381
96,saldanha,-33.0117,17.9442,61.92,79,0,14.45,ZA,1671592381
97,baykalovo,57.3981,63.7684,-3.05,97,11,7.27,RU,1671592382
98,dikson,73.5069,80.5464,0.12,94,100,8.97,RU,1671592383
99,durazno,-33.4131,-56.5006,66.07,63,51,15.08,UY,1671592347
100,okhotsk,59.3833,143.3,19.0,85,99,15.7,RU,1671592384
101,mokhsogollokh,61.4681,128.9203,-18.67,92,100,4.16,RU,1671592385
102,gerash,27.6652,54.1371,48.25,35,34,2.95,IR,1671592385
103,olavarria,-36.8927,-60.3225,70.02,76,9,15.35,AR,1671592386
104,talnakh,69.4865,88.3972,-21.8,98,100,6.04,RU,1671592387
105,yellowknife,62.456,-114.3525,-22.43,100,100,6.24,CA,1671592388
106,san nicolas,18.1725,120.5953,78.71,78,75,21.85,PH,1671592388
107,punta arenas,-53.15,-70.9167,57.31,54,0,9.22,CL,1671592363
108,qaanaaq,77.484,-69.3632,-18.67,71,17,5.66,GL,1671592390
109,bredasdorp,-34.5322,20.0403,59.81,67,21,7.63,ZA,1671592390
110,meiktila,20.8667,95.8667,77.43,57,32,4.12,MM,1671592391
111,caravelas,-17.7125,-39.2481,75.33,90,100,9.24,BR,1671592391
112,grindavik,63.8424,-22.4338,30.67,64,75,35.68,IS,1671592392
113,cape town,-33.9258,18.4232,66.38,72,2,15.01,ZA,1671592393
114,avera,33.194,-82.5271,39.25,80,100,9.62,US,1671592393
115,te anau,-45.4167,167.7167,68.79,44,8,2.71,NZ,1671592394
116,malindi,-3.2175,40.1191,76.98,86,82,9.04,KE,1671592395
117,kununurra,-15.7667,128.7333,89.58,66,75,8.05,AU,1671592395
118,mehran,33.1222,46.1646,57.51,43,0,4.74,IR,1671592396
119,talaya,61.3833,152.75,5.43,95,100,4.83,RU,1671592397
120,baykit,61.67,96.37,-11.76,98,100,2.62,RU,1671592397
121,plettenberg bay,-34.0527,23.3716,58.03,75,67,3.89,ZA,1671592398
122,puerto ayora,-0.7393,-90.3518,72.55,94,42,3.0,EC,1671592399
123,kropotkin,45.4375,40.5756,31.84,48,89,4.76,RU,1671592399
124,longyearbyen,78.2186,15.6401,4.59,91,98,2.93,SJ,1671592400
125,saint anthony,45.0205,-93.218,-5.85,74,0,10.36,US,1671592400
126,oksfjord,70.2396,22.3479,26.78,92,100,12.35,NO,1671592401
127,east london,-33.0153,27.9116,63.01,76,100,5.32,ZA,1671592402
128,esmeraldas,-19.7625,-44.3139,68.86,98,100,4.45,BR,1671592402
129,trairi,-3.2778,-39.2689,77.81,79,87,7.14,BR,1671592170
130,veraval,20.9,70.3667,73.31,33,5,10.22,IN,1671592403
131,marsh harbour,26.5412,-77.0636,71.55,83,100,24.79,BS,1671592404
132,clyde river,70.4692,-68.5914,-17.77,96,82,6.13,CA,1671592404
133,gaoua,10.2992,-3.2508,70.72,20,94,4.97,BF,1671592405
134,khatanga,71.9667,102.5,-22.67,78,1,16.15,RU,1671592406
135,fort nelson,58.8053,-122.7002,-31.14,100,7,1.45,CA,1671592406
136,channel-port aux basques,47.5702,-59.1367,31.48,71,72,11.56,CA,1671592407
137,sao joao da barra,-21.6403,-41.0511,72.61,96,100,5.41,BR,1671592408
138,tutoia,-2.7619,-42.2744,79.45,78,99,8.97,BR,1671592409
139,vestmanna,62.1564,-7.1664,40.12,93,100,4.61,FO,1671592410
140,san policarpo,12.1791,125.5072,79.48,85,100,9.53,PH,1671592410
141,chokurdakh,70.6333,147.9167,-9.35,99,67,4.25,RU,1671592411
142,saskylakh,71.9167,114.0833,-34.01,96,70,6.38,RU,1671592411
143,trapani,37.8333,12.6667,48.88,73,7,2.46,IT,1671592412
144,lavrentiya,65.5833,-171.0,12.0,89,2,11.81,RU,1671592412
145,vostok,46.4856,135.8833,9.21,70,54,0.74,RU,1671592413
146,marang,5.2056,103.2059,80.96,85,100,5.53,MY,1671592414
